Name	No transfer	Transfer	%change	GDSC Drug
(R)-(+)-Etomoxir (sodium salt)	0.04389721580604556	0.053816268771051536	22.596086751451594	No
PAZOPANIB	0.09107904022605053	0.06947500886439692	-23.720091151635124	No
PARTHENOLIDE	0.1153239055646634	0.05724143526964653	-50.36464036716948	No
PARBENDAZOLE	0.07952175480220931	0.054184850605021886	-31.861600967190306	No
PALMOSTATIN B	0.06335754894388311	0.04870701714178607	-23.12357729474869	No
PAC-1	0.09096104295743344	0.10216725344171904	12.319791110497384	No
OUABAIN	0.12460490422764885	0.07941167287510298	-36.269223617378174	No
OSI-930	0.055791327850775584	0.05118982564826855	-8.247701533139015	No
OLIGOMYCIN A	0.2331580795192346	0.2269749585049192	-2.651900816418122	No
OBATOCLAX	0.2771711104779049	0.19573445338021928	-29.381365524448285	No
NVP-TAE684	0.05078617129320874	0.057362170755990836	12.9484056295881	No
NVP-BSK805	0.06707988928910144	0.08530135450916733	27.163827211364154	No
NVP 231	0.15756183980618038	0.16310301715836434	3.5168270178872354	No
NUTLIN-3	0.051279117336166025	0.051162288343295684	-0.22782957066997717	No
NSC95397	0.07272432719608421	0.07030923630086015	-3.320884480254216	No
NSC632839	0.17268644727388474	0.07878807601496629	-54.37506691535175	No
PD 153035	0.1196439534941411	0.10647398553677936	-11.0076335433087	No
PD318088	0.1201431104061325	0.09320454419819724	-22.422064916475	No
PDMP	0.03716253204608801	0.03277046869185913	-11.818525575119462	No
PF-184	0.06886479869251767	0.060992181829330985	-11.431989946471836	No
PURMORPHAMINE	0.0612556087571101	0.05271603056828863	-13.940891882541711	No
PROCHLORPERAZINE	0.11803420631119214	0.09829939835053278	-16.71956679119728	No
PROCARBAZINE	0.10422357849042843	0.046209895824766166	-55.662723834597614	No
PRL-3 INHIBITOR I	0.045922127200735255	0.04603341402404401	0.24233812780993041	No
PRIMA-1	0.10563210568942487	0.08262850222956633	-21.777094482517253	No
PLURIPOTIN	0.14351185312136264	0.16111637399807535	12.266945547574545	No
PITSTOP2	0.06229433614176856	0.04329353733438901	-30.50164747584404	No
NSC23766	0.04672105598070106	0.04703306694845318	0.6678166004659751	No
PIK-93	0.12760177261577085	0.0870686443179613	-31.765333244908145	No
PI-103	0.16948022129477142	0.1466451782964045	-13.473573980441452	No
PHLORETIN	0.09087409900300868	0.07017169546866812	-22.78141270336571	No
PHA-793887	0.14209744986487666	0.1042982047830322	-26.60093134520607	No
PF-750	0.0506331229265984	0.05861824657937135	15.770553328003864	No
PF-573228	0.09401966114582777	0.09071423710360538	-3.5156732133883843	No
PF-4800567 HYDROCHLORIDE	0.11352488512911578	0.1085464252241514	-4.385346789210322	No
PF-3758309	0.1798771094506234	0.17643821571043766	-1.9118017577048774	No
PIFITHRIN-MU	0.09585681160713624	0.10613874663631832	10.726347827342737	No
PX-12	0.06773906691447329	0.05608175605068581	-17.20914000558332	No
NSC19630	0.07055912025217358	0.08361367711019753	18.501586770594418	No
NINTEDANIB	0.08071316714068924	0.09189789651152294	13.85737887269107	No
MK-0752	0.06720420992953616	0.07292349383006169	8.51030598607174	No
MITOMYCIN	0.16411280370940026	0.15308176580209498	-6.721619311823036	No
MI-2	0.19529285158250648	0.1872377016975144	-4.124651680652509	No
MGCD-265	0.06517903969874263	0.05558349994426205	-14.72181823916268	No
METHOTREXATE	0.08819592346557233	0.04602306836482272	-47.81723853394649	No
MDIVI-1	0.06410897275518397	0.05871664354371886	-8.41119266106019	No
ZEBULARINE	0.0941305123766716	0.05463153394456242	-41.96192864015285	No
MARINOPYRROLE A	0.1197985276853978	0.11601777396214165	-3.155926701524047	No
MANUMYCIN A	0.12387546000853768	0.08875918826543984	-28.348045481064265	No
LY-2183240	0.05489640578175793	0.04653019471171451	-15.239997866715552	No
LY-2157299	0.05146785642856906	0.05320989697546023	3.3847155637983595	No
LRRK2-IN-1	0.1245601390646534	0.1209659096151745	-2.8855374411659023	No
LOVASTATIN	0.12645231656541886	0.13631521411451658	7.799697005942353	No
LOMEGUATRIB	0.06332816004945299	0.04718070919182545	-25.49805780717139	No
LINIFANIB	0.09156946800664152	0.08538462064603887	-6.754268093109447	No
ML006	0.0476748847193476	0.04487623609766929	-5.87027873932657	No
ML029	0.039081155503556515	0.032875056011066404	-15.880030701562381	No
ML031	0.046829113303830106	0.043653633493713886	-6.78099495395848	No
ML083	0.039830938940931	0.03976788539879962	-0.15830292684008734	No
NICLOSAMIDE	0.03898190439771787	0.039450570660288835	1.202266204825031	No
NERATINIB	0.12427500556541753	0.15752828705270142	26.757819350713756	No
NECROSULFONAMIDE	0.06652302702802018	0.07201892120517885	8.261641754281172	No
NECROSTATIN-7	0.04092192586658154	0.04349047074556302	6.2766959877590995	No
NECROSTATIN-1	0.06395496398297805	0.03971626779691144	-37.899632298312085	No
NARCICLASINE	0.1250065612779505	0.10972310521260734	-12.226123100339192	No
N9-ISOPROPYLOLOMOUCINE	0.09993057399878956	0.08597108856558454	-13.969183678834979	No
NSC 74859	0.04918778434354798	0.054107966447743516	10.002853696013087	No
MYRIOCIN	0.1648885036238223	0.18314190143471498	11.070145831716752	No
