Name	AUC	AUPRC	Accuracy	Recall	Precision	F1	MCC	Sample size
BGJ398	0.4	0.32167388167388167	0.5833333333333334	0.13333333333333333	0.13333333333333333	0.12444444444444444	-0.12013967603874764	12
BINIMETINIB	0.725390625	0.4496510357100153	0.709375	0.425	0.43623815554930107	0.4259477831536655	0.2353081082894713	64
BKM120	0.478125	0.30455151624915827	0.5	0.3	0.1891841491841492	0.23064908648432675	-0.11801943036508322	32
BYL719	0.725	0.6249932012432012	0.7625	0.45	0.58	0.4888888888888888	0.3546175821718186	16
CGM097	0.8296296296296296	0.7522222222222221	0.8333333333333333	0.39999999999999997	0.8	0.52	0.48391632365229115	12
DACARBAZINE	0.5833333333333333	0.5888095238095238	0.675	0.4	0.4333333333333333	0.39333333333333337	0.19055921354158983	8
ERLOTINIB	0.7037037037037036	0.5292929292929294	0.75	0.6	0.44666666666666666	0.4999999999999999	0.3614307492459198	12
FLUOROURACIL	0.0	0.25	0.35	0.0	0.0	0.0	-0.4797434948471088	4
GEMCITABINE	0.44761904761904764	0.2907797398277755	0.6142857142857143	0.22857142857142856	0.22888888888888886	0.2256410256410256	-0.028428069468697227	28
HDM201	0.4666666666666667	0.3988095238095237	0.675	0.1	0.2	0.13333333333333333	-0.0021555630055946186	8
LEE011	0.712962962962963	0.5104599322246381	0.6916666666666667	0.36666666666666664	0.3883333333333333	0.37177489177489176	0.17244998410580856	24
LGH-447	0.06666666666666668	0.26666666666666666	0.4	0.0	0.0	0.0	-0.4309401076758503	4
PACLITAXEL	0.7653333333333334	0.6216218487394958	0.6900000000000001	0.5599999999999999	0.422020202020202	0.4612337662337662	0.27793668611397315	20
TRAMETINIB	0.33333333333333337	0.26512506012506015	0.5333333333333333	0.13333333333333333	0.13999999999999999	0.13	-0.1848304752052698	12
