Name	No transfer	Transfer	%change	GDSC Drug
ANASTROZOLE	0.6480645161290324	0.6074193548387097	-6.271777003484337	No
EVEROLIMUS	0.8240384615384617	0.8966880341880341	8.816284195514033	No
EXEMESTANE	0.45	0.5833333333333333	29.629629629629612	No
FLUOROURACIL	0.175	0.3333333333333333	90.47619047619048	No
LETROZOLE	0.5286764705882352	0.6132352941176471	15.99443671766345	No
TRASTUZUMAB DERUXTECAN	0.5019841269841271	0.6190476190476191	23.32015810276678	No
VEMURAFENIB	0.33333333333333337	1.0	199.99999999999997	No
AFATINIB	0.37692307692307697	0.5743589743589744	52.38095238095239	Yes
CISPLATIN	0.3142857142857142	0.5261904761904763	67.4242424242425	Yes
DABRAFENIB	0.34	0.4106666666666666	20.784313725490176	Yes
GEMCITABINE	0.31999999999999995	0.5142857142857143	60.71428571428575	Yes
SORAFENIB	0.8855116514690982	0.8879432624113475	0.27459954233410366	Yes
TAMOXIFEN	0.7351851851851853	0.7629629629629631	3.778337531486147	Yes
TEMOZOLOMIDE	0.3166666666666667	0.8333333333333334	163.15789473684205	Yes
