Name	AUC	AUPRC	Accuracy	Recall	Precision	F1	MCC	Sample size
BLCA	0.3	0.355	0.39999999999999997	0.5	0.2833333333333333	0.36	-0.15	6
BRCA	0.7259299905392622	0.7464105576474482	0.6576687116564417	0.6434285714285715	0.6960708730403035	0.6682182290212475	0.3172487937719294	326
CESC	0.31111111111111117	0.4844444444444444	0.3333333333333333	0.4666666666666666	0.35333333333333333	0.3976190476190476	-0.32673332670796074	6
COAD			0.8	0.0	0.0	0.0	0.0	3
HNSCC	0.5066666666666667	0.6399295586967886	0.5999999999999999	0.7444444444444445	0.6742443064182194	0.7039662947236759	0.08661873718952093	28
KIRP		1.0	0.9333333333333332	0.9333333333333332	1.0	0.96	0.0	3
LGG	0.5	0.6173015873015875	0.5999999999999999	0.35	0.6866666666666668	0.4171428571428571	0.2084433925000791	9
LIHC	0.8814382896015548	0.7767148448456958	0.8342857142857142	0.7523809523809525	0.7131433381433382	0.7240919158361019	0.6140093287354416	70
LUAD		1.0	0.8666666666666668	0.8666666666666668	1.0	0.9151515151515153	0.0	6
LUSC		1.0	1.0	1.0	1.0	1.0	0.0	1
MESO		1.0	0.0	0.0	0.0	0.0	0.0	1
PAAD	0.15555555555555559	0.4555555555555556	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	-0.3333333333333333	6
SARC	0.25	0.5	0.3	0.6	0.3666666666666666	0.4533333333333333	-0.46188021535170065	4
SKCM	0.39692307692307693	0.5422774297662972	0.4727272727272728	0.47000000000000003	0.5814592760180994	0.5171241371241371	-0.05190124316997461	33
STAD	0.18888888888888888	0.3242857142857143	0.4666666666666666	0.06666666666666667	0.05	0.05714285714285715	-0.3084014604072201	9
UCS	0.4000000000000001	0.8699999999999999	0.6333333333333332	0.76	0.79	0.7733333333333335	-0.22324555320336756	6
