Name	AUC	AUPRC	Accuracy	Recall	Precision	F1	MCC	Sample size
BLCA	1.0	1.0	0.6666666666666666	1.0	0.5	0.6666666666666666	0.5	6
BRCA	0.7867928098391676	0.8014626780843017	0.7036809815950921	0.7382857142857142	0.7177777777777778	0.7278873239436618	0.4029689854102161	326
CESC	0.4222222222222222	0.5266666666666666	0.6333333333333333	1.0	0.58	0.7333333333333332	0.35777087639996635	6
COAD			0.6666666666666666	0.0	0.0	0.0	0.0	3
HNSCC	0.6522222222222223	0.7784874989339474	0.7142857142857143	0.888888888888889	0.7272727272727273	0.7999999999999999	0.3373495424699933	28
KIRP		1.0	0.6666666666666666	0.6666666666666666	1.0	0.8	0.0	3
LGG	0.9	0.8875	0.888888888888889	1.0	0.8	0.888888888888889	0.8	9
LIHC	0.8872691933916425	0.8474322945541853	0.8771428571428572	0.8666666666666666	0.7585217391304347	0.8088537549407114	0.7225609603176998	70
LUAD		1.0	0.7333333333333333	0.7333333333333333	1.0	0.8436363636363635	0.0	6
LUSC		1.0	1.0	1.0	1.0	1.0	0.0	1
MESO		1.0	0.0	0.0	0.0	0.0	0.0	1
PAAD	0.22222222222222224	0.4666666666666667	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	-0.3333333333333333	6
SARC	0.25	0.5	0.5	1.0	0.5	0.6666666666666666	0.0	4
SKCM	0.5438461538461538	0.6920126532191736	0.5636363636363636	0.58	0.6588235294117647	0.6167852062588904	0.11611921462019163	33
STAD	0.22222222222222224	0.2869047619047619	0.4444444444444445	0.0	0.0	0.0	-0.3779644730092272	9
UCS	0.6	0.9266666666666665	0.5	0.6	0.75	0.6666666666666665	-0.31622776601683794	6
