Name	AUC	AUPRC	Accuracy	Recall	Precision	F1	MCC	Sample size
AFATINIB	0.5743589743589744	0.7889027361461273	0.6842105263157895	0.9230769230769231	0.7058823529411765	0.8000000000000002	0.13592873654160803	19
ANASTROZOLE	0.6074193548387097	0.5275483175306381	0.6352941176470588	0.36	0.5538461538461539	0.43636363636363634	0.19370260714058535	51
CARMUSTINE			1.0	0.0	0.0	0.0	0.0	1
CISPLATIN	0.5261904761904763	0.7414306748340362	0.6699999999999999	0.8142857142857143	0.74	0.7751724137931035	0.1628800506962424	20
CYCLOPHOSPHAMIDE		1.0	0.0	0.0	0.0	0.0	0.0	2
DABRAFENIB	0.4106666666666666	0.6014486121980401	0.46399999999999997	0.44000000000000006	0.5681818181818182	0.49572649572649574	-0.05908871521140453	25
DASATINIB		1.0	0.0	0.0	0.0	0.0	0.0	1
DOCETAXEL	1.0	1.0	0.5	0.0	0.0	0.0	0.0	2
DOXORUBICIN	0.0	0.5833333333333333	0.6666666666666666	1.0	0.6666666666666666	0.8	0.0	3
EVEROLIMUS	0.8966880341880341	0.9065483271886519	0.8522727272727273	0.9423076923076923	0.8305084745762713	0.882882882882883	0.6950922612931693	88
EXEMESTANE	0.5833333333333333	0.6306818181818181	0.5625	0.5	0.2857142857142857	0.36363636363636365	0.07273929674533079	16
FLUOROURACIL	0.3333333333333333	0.2619047619047619	0.5454545454545454	0.0	0.0	0.0	-0.28867513459481287	11
GEMCITABINE	0.5142857142857143	0.45186147186147185	0.5833333333333334	0.8	0.5	0.6153846153846154	0.23904572186687872	12
IRINOTECAN			0.0	0.0	0.0	0.0	0.0	1
LETROZOLE	0.6132352941176471	0.5974138100089892	0.5434343434343434	0.5450980392156863	0.5582040816326531	0.5515643564356436	0.08672928448635446	99
PACLITAXEL	0.6666666666666667	0.75	0.5599999999999999	0.5	0.4666666666666667	0.48	0.1	5
RIGOSERTIB			1.0	0.0	0.0	0.0	0.0	1
SORAFENIB	0.8879432624113475	0.8493903748822177	0.8735294117647058	0.8666666666666666	0.7585217391304347	0.8088537549407114	0.718701019048819	68
TAMOXIFEN	0.7629629629629631	0.5756084656084656	0.7583333333333333	0.36666666666666664	0.52	0.4290909090909091	0.28948795468400185	24
TEMOZOLOMIDE	0.8333333333333334	0.8055555555555556	0.8571428571428571	1.0	0.75	0.8571428571428571	0.75	7
TRASTUZUMAB DERUXTECAN	0.6190476190476191	0.8875326977169454	0.8541666666666666	0.976190476190476	0.8723404255319149	0.9213483146067414	-0.055131784641997125	48
VEMURAFENIB	1.0	1.0	0.875	1.0	0.8333333333333334	0.909090909090909	0.7453559924999299	8
VINCRISTINE		1.0	1.0	1.0	1.0	1.0	0.0	2
VINORELBINE		1.0	1.0	1.0	1.0	1.0	0.0	3
