feature	mean|SHAP|
EXP_REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS	0.009834261391171328
EXP_REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	0.008667051143365776
EXP_REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0.00842785320138013
EXP_REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	0.007273038515593773
EXP_REACTOME_FLT3_SIGNALING	0.007108621662735004
EXP_REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION	0.007076864593519517
EXP_REACTOME_TRANSPORT_OF_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS	0.0068754816339246785
EXP_REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS	0.006824226813957718
EXP_REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	0.006794476531864528
EXP_REACTOME_HIV_LIFE_CYCLE	0.006592301345165136
