Name	MAE	MSE	RMSE	R-square	PCC	Spearman	Sample size
(R)-(+)-Etomoxir (sodium salt)	0.03707899105465852	0.0019321281170774306	0.04389721580604556	0.19453467864484805	0.5038800445593828	0.5131868131868131	13
968	0.0900184711624659	0.012541922360083457	0.1119038083996359	-6.804099597821356e-05	0.32898190941798616	0.16813186813186815	13
A-804598	0.06182363243454053	0.0049244769504750594	0.06993025041577071	-3.2481370479190645	0.6528623244915035	0.6164835164835165	13
ABIRATERONE	0.03773755442606633	0.0021901157727765123	0.0465267687142788	0.15255611694748744	0.5350028361774007	0.6307692307692309	13
ABT-199	0.06917156614002448	0.006443754536982001	0.07964840834041938	-0.7941879292766856	0.5584351369116001	0.543956043956044	13
ABT-737	0.06388525935243826	0.006438981031911417	0.08017641689850391	0.06903893082634334	0.34920169784266053	0.4241758241758241	13
AC55649	0.04978230849039004	0.00436372902895119	0.06580329767695123	-2.777254318443915	-0.15090365593523367	0.12527472527472527	13
AFATINIB	0.1258503694573916	0.029896057064633073	0.1726588429887923	0.18649937631074281	0.5361633254940331	0.5945054945054945	13
AGK-2	0.03350585439456976	0.0015797938471003223	0.03951815793134642	-0.08025634679085587	0.4901981052963455	0.6747252747252747	13
ALISERTIB	0.05947978560279332	0.006437000996556289	0.07940953613305629	-0.12054246108629878	0.2937612577124856	0.30659340659340656	13
ALVOCIDIB	0.14597420605996936	0.027395803802938868	0.16513363700263237	-0.09822234949235283	0.5837229633736235	0.2835164835164835	13
AM-580	0.05152952611054725	0.004618597367789385	0.06792287810057336	-0.7547657144728508	0.06699229905585095	0.05330625946273583	26
APICIDIN	0.10238173497040456	0.017168413548861387	0.13073317801154252	-0.05634018407443353	0.1815532068416043	0.0879120879120879	13
AT-406	0.10023929633167342	0.016391163002171607	0.12779464439375396	0.022589987040042205	0.22701822258306495	0.4252747252747252	13
AT13387	0.16717216886358993	0.040340741163318414	0.1995339233917499	-0.30429709231222235	-0.0004953733760341527	-0.10439560439560439	13
AT406	0.08541527192716598	0.016361935268914655	0.12781978645687703	0.0014438388774153043	0.22520706659079698	0.356043956043956	13
AT7867	0.20800105088555632	0.07551343107392061	0.2747232306125256	-0.5103116903612677	-0.4056955056381124	-0.4472527472527473	13
AXITINIB	0.04279076750352933	0.0028719245073097113	0.053465984434458755	-0.39768154578628456	0.34934144214138974	0.32417582417582413	13
AZ-3146	0.09924334867543075	0.012259573361433195	0.10965513970760792	-6.73230707582095	0.1620000658575298	0.2879120879120879	13
AZACITIDINE	0.14119066106209388	0.038823773744503874	0.19695340321739868	-0.7085208440527015	0.24396017334764863	0.11538461538461539	13
AZD1480	0.09247534720012959	0.014885617639054929	0.12187033065084527	-0.21806925282705994	-0.022558849412616905	0.09450549450549452	13
AZD4547	0.06347165070910307	0.009286857637021912	0.0963279794304854	-0.16281505048785774	0.3899486122905954	0.4472527472527473	13
AZD6482	0.08767837328352927	0.012392596664130584	0.11124036051977049	-0.3508040233850821	-0.015167280060436652	-0.06483516483516485	13
AZD7545	0.03490536369691922	0.0018735696708748468	0.04312326995624295	-0.18573666696216556	0.5135579575823072	0.4978021978021978	13
AZD7762	0.20688437522922737	0.06190791869099319	0.2484512583128815	-0.1331324699698035	-0.0242806864053599	0.02307692307692307	13
AZD8055	0.19053048587226867	0.049902026286040735	0.22273581274070348	-2.4583493826584726	0.31124403905542675	0.378021978021978	13
BAFILOMYCIN A1	0.20480303364181518	0.056010544742766254	0.23571875844443912	-0.1109726631530789	0.2443017151035812	0.1021978021978022	13
BARASERTIB	0.04723734245436192	0.003783714644879101	0.060990175126422394	-0.15504309155906776	0.3504335302062255	0.33736263736263733	13
BARDOXOLONE METHYL	0.11248979512588794	0.023263343689270976	0.15246742458614518	-0.03365583731483934	0.15646063516137484	0.05494505494505495	13
BAX CHANNEL BLOCKER	0.058934606104337275	0.005775078414003422	0.07561208654843203	-0.8187530618574665	0.03159836418116935	0.06043956043956046	13
BEC	0.04737780670775634	0.0036553631617547043	0.06017019639177941	-0.6039067895114231	0.14457275617388557	0.30659340659340656	13
BELINOSTAT	0.148386220432795	0.03250511313863634	0.18018485565607562	0.019259089103506776	0.26584840912222507	0.21648351648351646	13
BEXAROTENE	0.07245720633209228	0.008047803638791668	0.08936880602333319	-0.6431358268729278	0.07786038705229119	0.09010989010989012	13
BI-2536	0.15630507761029094	0.038673557859697574	0.19606881578654176	-0.1517695630609416	0.00015792561995934263	0.10109890109890114	13
BIBR-1532	0.0646309645874537	0.006300181137861151	0.07810230720634806	-2.7816857046840324	0.2694334180523671	0.27142857142857146	13
BIRB-796	0.06924752629768921	0.007664112574658992	0.08704134084212897	0.1261568703006383	0.4451722219263976	0.4956043956043956	13
BIRINAPANT	0.1565923828090154	0.037010079121597705	0.1919931561298994	-0.05657824463435825	0.09787957078934498	0.08791208791208789	13
BIX-01294	0.13605925209889044	0.02480703410284728	0.15709011012835103	-0.8822982888889441	0.18905403636386525	0.14065934065934066	13
BLEBBISTATIN	0.08809550141505865	0.010922249240296259	0.10381977631613208	-8.162771907337476	-0.12896637250625062	-0.10659340659340659	13
BLEOMYCIN	0.08364781512033462	0.011294515238590427	0.10598208805685468	-0.8289715046870137	-0.31073903421404203	-0.2230769230769231	13
BMS-195614	0.04175681685311977	0.00262614189018252	0.051184769225127866	-0.1860611010110673	0.4312737342354393	0.42747252747252745	13
BMS-270394	0.04345452424476366	0.0028273589472843285	0.05285905821056858	0.24030568636468636	0.5403335651965773	0.49010989010989015	13
BMS-345541	0.05738232987418908	0.005612743689422934	0.07482610630157244	0.20943954235630596	0.5023953228132255	0.5802197802197803	13
BMS-536924	0.12572162461621356	0.021203515250371008	0.14531151826433092	-0.11629383551250441	0.08185801745385832	-0.06153846153846154	13
BMS-754807	0.1830035575026879	0.03803588619171215	0.19448867193211927	-0.4265878707487776	-0.176363803375683	-0.1021978021978022	13
BORTEZOMIB	0.1637993396744361	0.0307588444306122	0.17463363299254828	-4.763695647190613	0.643264062515305	0.221978021978022	13
BOSUTINIB	0.057573174461595836	0.004519424482757605	0.06716405558120517	-1.612252191906013	-0.041387875586345074	0.017582417582417575	13
BRD 9876	0.04163675997209732	0.0026510870019897472	0.051231833550766194	-0.04149009778259751	0.4781561924489083	0.5263736263736264	13
BRD4770	0.045596907700942116	0.0031377015163459045	0.05600421337719809	-2.8076400522309637	-0.09910290246525415	-0.006593406593406589	13
BREFELDIN A	0.13358194217887293	0.02534400790658513	0.15883004124968653	-0.0824173226249062	0.2734336424663596	0.14835164835164832	13
BRIVANIB	0.04310436065206454	0.0032703170417671913	0.057093891808027264	0.30892409452334874	0.5879805470624597	0.5879120879120879	13
BYL-719	0.10298308580345375	0.019482950182919703	0.13899297093329446	-0.45375738881031086	-0.025650170777181673	-0.13626373626373625	13
C6-CERAMIDE	0.045739712387978484	0.003040974754539923	0.054975870211366865	-3.7910861312748465	-0.010216700071105086	0.07362637362637361	13
CABOZANTINIB	0.06217701110252967	0.00502682603289683	0.0702745181781625	-0.28782561584067967	0.673850025808769	0.6670329670329669	13
CAL-101	0.061316182995833614	0.0070164517954494675	0.08364182660456303	-0.6555983547915888	0.07103982807540148	0.17912087912087912	13
CANERTINIB	0.08969252077864646	0.013933483087876822	0.11742178631709435	-0.2080063063747878	0.06278224241860889	0.038461538461538464	13
CAY10576	0.05132258868239329	0.004230810537003897	0.06495014393293808	-0.6406604474318609	0.07641414185845409	0.2802197802197802	13
CAY10594	0.06260921883105791	0.010328090777476321	0.1007612146690505	-0.32920438444671085	0.17635453170344967	0.4208791208791209	13
CAY10603	0.1821903472132683	0.055718918624353866	0.23558933539324448	-0.13723540891944955	-0.05205481613985434	0.0956043956043956	13
