Name	MAE	MSE	RMSE	R-square	PCC	Spearman	Sample size
(R)-(+)-Etomoxir (sodium salt)	0.045575165032014114	0.0029524067120464187	0.05381626877105154	-0.23079893101844143	0.42871329459067764	0.47032967032967027	13
968	0.0984668892665643	0.013949234414712153	0.11684054319375621	-0.11228431607210472	0.2997760216270827	0.17472527472527472	13
A-804598	0.03408228780270833	0.0021225232792644083	0.045825227839650165	-0.8310106572524326	0.4314984353707468	0.4362637362637362	13
ABIRATERONE	0.029827935291485412	0.0014695837419392412	0.037831280938190825	0.43135894082850557	0.6649441909566713	0.6483516483516484	13
ABT-199	0.05786093030479872	0.004713798581570708	0.06843193416588547	-0.3125019687756224	0.21553968627646053	0.2714285714285714	13
ABT-737	0.06839047122119463	0.006812926124196393	0.08189170614630617	0.014973183280179093	0.28077531849768295	0.3637362637362638	13
AC55649	0.04465423919462315	0.003673472779704865	0.0603376432544695	-2.1797668527922665	-0.013917269907139498	0.14065934065934066	13
AFATINIB	0.11240566062553112	0.020129861356997875	0.14131455661369657	0.45224700590806693	0.7447018999035347	0.7549450549450549	13
AGK-2	0.034755144534211156	0.0016845962573142474	0.04102746305403361	-0.1519197913601409	0.38658469427543124	0.4978021978021978	13
ALISERTIB	0.05080880047056675	0.003791334621648792	0.06107721163009218	0.3400107550058108	0.6030471229176577	0.48681318681318675	13
ALVOCIDIB	0.09153088912479693	0.011332922874435282	0.10617992376323118	0.5456943232874665	0.7581658919869859	0.5285714285714285	13
AM-580	0.05385717362616649	0.0047257274371894	0.06857372642167299	-0.7954681524215003	-0.12107239256876705	-0.10598221215624751	26
APICIDIN	0.09007093559533817	0.015277721192133406	0.12326530057747945	0.059990559383607714	0.3554980793419189	0.34285714285714286	13
AT-406	0.10040932727294886	0.01737216181540853	0.13124861492228024	-0.0359072692335106	0.254350965359718	0.3494505494505495	13
AT13387	0.1480180214083745	0.032749800929574566	0.17999055473814785	-0.05886676581661652	0.1448101361222021	0.12527472527472527	13
AT406	0.09062978039786632	0.01617078375669052	0.12689413376475414	0.013109666733484748	0.2902197369422503	0.33296703296703295	13
AT7867	0.20637767451689798	0.06922247943884904	0.2621155558801666	-0.3844890696324463	-0.4777431398837166	-0.6131868131868132	13
AXITINIB	0.0490854333381011	0.003927655597325237	0.06255498988043903	-0.9114749474136108	0.2574557268806486	0.25164835164835164	13
AZ-3146	0.05192223842351438	0.004796221453005031	0.06848684708273875	-2.0250528289134153	-0.007906445548115638	0.02857142857142857	13
AZACITIDINE	0.09418758536432341	0.018846122122312646	0.13688445881391414	0.17063723152126184	0.515748835649109	0.48241758241758237	13
AZD1480	0.08680258705398118	0.01351094990237603	0.11618800266421928	-0.10558211635052203	0.09668934857198005	0.1769230769230769	13
AZD4547	0.06538932984057023	0.008318719272640055	0.09091717757287686	-0.041593652997056155	0.25128264883551454	0.2571428571428572	13
AZD6482	0.08551702162716938	0.01007110515808782	0.10021819849769471	-0.0977593910447571	0.24295800898175726	0.2230769230769231	13
AZD7545	0.030871874675151383	0.001557282660495191	0.03866084117232294	0.014433687693438358	0.4518099591610782	0.4758241758241758	13
AZD7762	0.22082691892681935	0.06988246663698434	0.26389633732845724	-0.2790947216816872	-0.17850273651873888	-0.06483516483516483	13
AZD8055	0.11621350013586192	0.017623924461727742	0.1323314007695827	-0.22138704213871474	0.38549100053895347	0.4054945054945055	13
BAFILOMYCIN A1	0.15688913638613772	0.034899321210624126	0.18610190417441205	0.3077697778933093	0.5833222357844201	0.4736263736263736	13
BARASERTIB	0.042643053904071956	0.0030804204717122573	0.05509670563169069	0.0596493872063508	0.49366939630362594	0.4725274725274725	13
BARDOXOLONE METHYL	0.12640032371124854	0.027729444727798546	0.1659969435714708	-0.23209727678172767	0.05833350932715738	-0.013186813186813178	13
BAX CHANNEL BLOCKER	0.061708317288765545	0.005590758291708195	0.07460989612979711	-0.7607048826373348	0.139947449797322	0.11538461538461538	13
BEC	0.04282758322357509	0.002485967710816199	0.04963822359705365	-0.09079736087569601	0.333936271844974	0.3571428571428571	13
BELINOSTAT	0.12000793023461565	0.025745395295633893	0.1598423185945988	0.22321259655552278	0.5136058492142067	0.49120879120879124	13
BEXAROTENE	0.07247717692015354	0.008871310084609993	0.09413567942256948	-0.8112727503762013	-0.30383398983569826	-0.19670329670329673	13
BI-2536	0.1315228212879071	0.029132747540280123	0.16946037461350244	0.13237328649814714	0.3858809863816418	0.5164835164835165	13
BIBR-1532	0.032532803861353585	0.0016813167743607621	0.040354563588365845	-0.009210921323464039	0.5234967202156945	0.4868131868131867	13
BIRB-796	0.07552870498473499	0.009794170397978334	0.09854283613960255	-0.11670704598947476	0.15959806928881587	0.2879120879120879	13
BIRINAPANT	0.16140250912785165	0.03739607969404227	0.1928292692919885	-0.06759794026703617	0.1681024253570119	0.12857142857142856	13
BIX-01294	0.0855710777084644	0.01236628144794543	0.11035711976705567	0.06167620389915509	0.3591375364724284	0.39230769230769236	13
BLEBBISTATIN	0.04626494021050526	0.003675759794159142	0.05976456520299113	-2.083627542190056	-0.13659714785697066	-0.02527472527472528	13
BLEOMYCIN	0.08955829949281949	0.011372554267751975	0.10636028462908129	-0.8416087146579418	-0.11519939371189844	-0.13956043956043956	13
BMS-195614	0.033707999259259144	0.001958111900253101	0.0440364616971161	0.11564551595662102	0.5015747553382169	0.4461538461538462	13
BMS-270394	0.042797565766466206	0.0029921960841855547	0.053805504546643526	0.1960149408616909	0.508167727579274	0.5175824175824175	13
BMS-345541	0.05155489351443694	0.004564676925234037	0.06704783338061246	0.35706077478488074	0.6362536860782482	0.6571428571428571	13
BMS-536924	0.1340749867916415	0.024053006553036778	0.15428852533013096	-0.2663099784941095	0.01750900457699659	-0.041758241758241735	13
BMS-754807	0.18063490009665123	0.03908060629832888	0.19763266789083686	-0.4657715254930054	-0.22299770058434093	-0.21428571428571427	13
BORTEZOMIB	0.052924306804070086	0.0036798252302700763	0.06037229793130859	0.31046198078164605	0.7833151069419176	0.3164835164835164	13
BOSUTINIB	0.052448538329368376	0.005480054047124805	0.07392895566657146	-2.167501360179929	-0.20696407449383103	0.07142857142857142	13
BRD 9876	0.03862498369452551	0.0022592003676781976	0.04736878752161201	0.11246412883557766	0.45768832650241703	0.4472527472527473	13
BRD4770	0.03864584130467342	0.002663472482330255	0.051181255086984435	-2.232157185412052	-0.07272063719174832	-0.08351648351648351	13
BREFELDIN A	0.1383471001730699	0.028076141527796826	0.16651241629205565	-0.1991040270414187	0.20973534426775742	0.08571428571428572	13
BRIVANIB	0.04976485136907321	0.0042482216297979455	0.06445994666085857	0.10227553720857005	0.369033309320602	0.41318681318681316	13
BYL-719	0.08742460056312268	0.012077137836680766	0.10971908333109393	0.098841386909294	0.3750541086462472	0.14615384615384616	13
C6-CERAMIDE	0.04322984011905414	0.0025139263834558913	0.04993628850293588	-2.960716152884895	-0.08305631179499483	-0.10989010989010987	13
CABOZANTINIB	0.04969046052129452	0.0036516785241242486	0.06022001227287497	0.06447426001881447	0.533429037637578	0.49010989010989015	13
CAL-101	0.05147005829740488	0.004641137653843207	0.06770689481948983	-0.09512045234137975	0.3910837186361899	0.49120879120879124	13
CANERTINIB	0.07946823933362006	0.009562364115494128	0.09687945679695364	0.1709613394931047	0.4798451001335449	0.4208791208791209	13
CAY10576	0.0475225503090835	0.003777181500469469	0.061130022308180834	-0.46474824064802556	0.13559396326674583	0.2604395604395604	13
CAY10594	0.05649453638900831	0.00790132882909201	0.08848733134680868	-0.016885032177320358	0.23263152340526067	0.42747252747252745	13
CAY10603	0.14269218617419097	0.04134112370837426	0.20254190901486685	0.15621855401312087	0.4233731445098948	0.6021978021978023	13
CCT036477	0.05701298723812653	0.006774788443475441	0.08196337506044615	-0.43190406531352554	-0.13649418028923493	0.11538461538461539	13
CD-1530	0.045915973471929106	0.0034684676828727876	0.05881356646824195	-0.03145020270277885	0.4026895206542334	0.27362637362637354	13
CD-437	0.08433936805923169	0.010435771312410294	0.10207459277699067	0.1513277531443572	0.39995402647826656	0.39780219780219783	13
CEDIRANIB	0.06174171229259693	0.011000663604302807	0.10479840492587852	-0.9968522411964787	-0.39143989327367096	0.16483516483516486	13
CERANIB-2	0.05051967680050905	0.004095729135116423	0.06388512359972878	0.4068811118769534	0.6615582585693578	0.6154923731839067	26
CERULENIN	0.04353960728562979	0.002723583694984762	0.0520844473301208	-0.012961406751363725	0.3289171702002721	0.18351648351648348	13
CH-55	0.05858626055773954	0.004693925088682503	0.0677573016007709	-0.8481915143394827	-0.03493561739813764	-0.04945054945054944	13
CHIR-99021	0.0424479380766025	0.003010006468318671	0.05398424019801962	-0.013765808284919712	0.3823489411541086	0.45054945054945056	13
CHLORAMBUCIL	0.04669855863820949	0.003356723534106107	0.05751354576038727	-0.22773372163957228	0.46078332065960004	0.43076923076923074	13
CI-976	0.03822597532892942	0.0023670749646238103	0.04842776750997617	-0.2554791258221014	0.4161931825827055	0.42625803223417214	26
CICLOPIROX	0.07673493538633677	0.008261186381712176	0.08983153438074717	-0.658418223025351	0.11277604727143106	0.13186813186813187	13
CID-2858522	0.03388537741510318	0.0018861101166250626	0.04320238053744964	0.19225235494421652	0.5554705824503356	0.532967032967033	13
CID-5951923	0.0410557914194936	0.0024061352816604586	0.048153301531995395	0.08913627555907896	0.4653851614258403	0.42857142857142855	13
