Name	AUC	AUPRC	Accuracy	Recall	Precision	F1	MCC	Sample size
BGJ398	0.5259259259259259	0.4723232323232323	0.7166666666666666	0.13333333333333333	0.2	0.16	0.03364849351658532	12
BINIMETINIB	0.7089843750000001	0.4469458576661919	0.73125	0.45	0.4700452488687782	0.45844005718375935	0.28109187677808317	64
BKM120	0.478125	0.2736289152562657	0.65	0.15	0.2138095238095238	0.17457875457875457	-0.038189377372241304	32
BYL719	0.7291666666666666	0.5765422077922078	0.7875	0.25	0.6	0.3466666666666667	0.2916757079831881	16
CGM097	0.8074074074074075	0.7357142857142855	0.8333333333333334	0.4	0.9	0.54	0.519898892517985	12
DACARBAZINE	0.5666666666666667	0.4935714285714285	0.7	0.3	0.4666666666666666	0.3466666666666667	0.18136546326932296	8
ERLOTINIB	0.674074074074074	0.5527849927849928	0.7333333333333334	0.2	0.4666666666666666	0.26666666666666666	0.17947563141962736	12
FLUOROURACIL	0.06666666666666668	0.26666666666666666	0.6	0.0	0.0	0.0	-0.18213672050459184	4
GEMCITABINE	0.5319727891156462	0.3728204910508047	0.6785714285714286	0.2571428571428571	0.3157142857142857	0.27844155844155843	0.07992196174253755	28
HDM201	0.6166666666666667	0.49000000000000005	0.7	0.3	0.45	0.3333333333333333	0.19519480161652422	8
LEE011	0.6574074074074074	0.5774863214289785	0.7666666666666667	0.4	0.625	0.4557142857142857	0.3500331763764757	24
LGH-447	0.2	0.31666666666666665	0.4	0.0	0.0	0.0	-0.4309401076758503	4
PACLITAXEL	0.8026666666666668	0.6992174285982335	0.7899999999999999	0.52	0.6057142857142856	0.5438095238095237	0.42328621222203894	20
TRAMETINIB	0.5851851851851851	0.480959595959596	0.7333333333333332	0.3333333333333333	0.4333333333333333	0.37333333333333335	0.2161880250510338	12
