Pathway	Set	Mann-Witney U Test statistic	P-value	FDR
EXP_REACTOME_INFECTIOUS_DISEASE	R & NR	4.909504951254939	9.130659467131147e-07	1.2782923253983607e-05
EXP_REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	NR only	4.2749430868070215	1.91186126722103e-05	0.0001338302887054721
EXP_REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION	R & NR	4.119085786767182	3.803785257952017e-05	0.00017750997870442746
EXP_REACTOME_VESICLE_MEDIATED_TRANSPORT	R only	3.762840529533264	0.0001679943312510522	0.0005879801593786828
EXP_REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	R & NR	-3.1728093222395866	0.0015097164152993155	0.004227205962838083
EXP_REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	R only	3.0280846864883073	0.002461091074551702	0.005742545840620638
EXP_REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS	R & NR	2.805431400717108	0.00502492761698578	0.01004985523397156
EXP_REACTOME_SIGNALING_BY_NOTCH	R & NR	2.4937168006374293	0.012641335873569264	0.022122337778746212
EXP_REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	R & NR	-1.7923589504581523	0.07307548587580544	0.11367297802903067
EXP_REACTOME_HIV_LIFE_CYCLE	NR only	1.1355317574331152	0.2561525835886308	0.3586136170240831
EXP_REACTOME_CELL_CELL_COMMUNICATION	NR only	0.9908071216818358	0.3217797711353022	0.40953789053583917
EXP_REACTOME_VISUAL_PHOTOTRANSDUCTION	R only	-0.8460824859305563	0.39750673037310036	0.4637578521019504
EXP_REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1	R only	-0.6568271930250372	0.5112920370663171	0.5506221937637261
EXP_REACTOME_MUSCLE_CONTRACTION	NR only	-0.5343678858508777	0.5930870329828548	0.5930870329828548
