Pathway	Mann-Witney U Test statistic	P-value
EXP_REACTOME_INFECTIOUS_DISEASE	5.4438728371058165	5.213444421465074e-08
EXP_REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	4.998566265563419	5.775815812624688e-07
EXP_REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION	4.809310972657899	1.5145143782830038e-06
EXP_REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	4.408535058269742	1.0407217557763677e-05
EXP_REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS	3.9075651652845433	9.323090088926205e-05
EXP_REACTOME_VESICLE_MEDIATED_TRANSPORT	3.7294425366675843	0.00019190386255507884
EXP_REACTOME_VISUAL_PHOTOTRANSDUCTION	3.4288606008764653	0.0006061207549139362
EXP_REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	3.1171460007967866	0.0018261111115101603
EXP_REACTOME_HIV_LIFE_CYCLE	2.6718394292543888	0.007543673610022754
EXP_REACTOME_SIGNALING_BY_NOTCH	2.29332884344335	0.021829079856039227
