Pathway	Mann-Witney U Test statistic	P-value
EXP_REACTOME_INFECTIOUS_DISEASE	4.909504951254939	9.130659467131147e-07
EXP_REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	4.2749430868070215	1.91186126722103e-05
EXP_REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION	4.119085786767182	3.803785257952017e-05
EXP_REACTOME_VESICLE_MEDIATED_TRANSPORT	3.762840529533264	0.0001679943312510522
EXP_REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	-3.1728093222395866	0.0015097164152993155
EXP_REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS	2.805431400717108	0.00502492761698578
EXP_REACTOME_SIGNALING_BY_NOTCH	2.4937168006374293	0.012641335873569264
EXP_REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	-1.7923589504581523	0.07307548587580544
EXP_REACTOME_HIV_LIFE_CYCLE	1.1355317574331152	0.2561525835886308
EXP_REACTOME_VISUAL_PHOTOTRANSDUCTION	-0.8460824859305563	0.39750673037310036
