Therapy	Sample	Response	Cancer types	Datasets	Alias
ANASTROZOLE	GSM1029704	NR	BRCA	Jensen et al.	ANASTROZOLE
LETROZOLE	GSM1029705	R	BRCA	Jensen et al.	LETROZOLE
LETROZOLE	GSM1029706	NR	BRCA	Jensen et al.	LETROZOLE
ANASTROZOLE	GSM1029707	R	BRCA	Jensen et al.	ANASTROZOLE
LETROZOLE	GSM1029708	NR	BRCA	Jensen et al.	LETROZOLE
ANASTROZOLE	GSM1029709	NR	BRCA	Jensen et al.	ANASTROZOLE
ANASTROZOLE	GSM1029710	R	BRCA	Jensen et al.	ANASTROZOLE
ANASTROZOLE	GSM1029711	R	BRCA	Jensen et al.	ANASTROZOLE
ANASTROZOLE	GSM1029712	NR	BRCA	Jensen et al.	ANASTROZOLE
ANASTROZOLE	GSM1029713	NR	BRCA	Jensen et al.	ANASTROZOLE
LETROZOLE	GSM1029714	R	BRCA	Jensen et al.	LETROZOLE
LETROZOLE	GSM1029715	R	BRCA	Jensen et al.	LETROZOLE
LETROZOLE	GSM1029716	R	BRCA	Jensen et al.	LETROZOLE
ANASTROZOLE	GSM1029717	R	BRCA	Jensen et al.	ANASTROZOLE
ANASTROZOLE	GSM1029718	NR	BRCA	Jensen et al.	ANASTROZOLE
ANASTROZOLE	GSM1029719	NR	BRCA	Jensen et al.	ANASTROZOLE
ANASTROZOLE	GSM1029720	NR	BRCA	Jensen et al.	ANASTROZOLE
ANASTROZOLE	GSM1029721	NR	BRCA	Jensen et al.	ANASTROZOLE
LETROZOLE	GSM1029722	NR	BRCA	Jensen et al.	LETROZOLE
LETROZOLE	GSM1029723	NR	BRCA	Jensen et al.	LETROZOLE
ANASTROZOLE	GSM1029724	NR	BRCA	Jensen et al.	ANASTROZOLE
ANASTROZOLE	GSM1029725	NR	BRCA	Jensen et al.	ANASTROZOLE
ANASTROZOLE	GSM1029726	R	BRCA	Jensen et al.	ANASTROZOLE
ANASTROZOLE	GSM1029727	NR	BRCA	Jensen et al.	ANASTROZOLE
ANASTROZOLE	GSM1029728	R	BRCA	Jensen et al.	ANASTROZOLE
LETROZOLE	GSM1029729	NR	BRCA	Jensen et al.	LETROZOLE
ANASTROZOLE	GSM1029730	NR	BRCA	Jensen et al.	ANASTROZOLE
