DRUG_NAME,CELL_LINE_NAME,AUC_FA
Entinostat,PC-14,0.228979224203496
WZ4003,PC-14,0.104133711807817
GSK2606414,PC-14,0.103066248322678
VE-822,A549,0.186614475342391
AZD5582,A549,6.98372432831576e-002
Crizotinib,CL-40,0.160946094693131
Oxaliplatin,CL-40,0.204665889276982
Linsitinib,CL-40,0.19402338997319
Irinotecan,MHH-ES-1,0.404957274290041
Entinostat,C32,4.53283280028635e-002
Entinostat,U-2-OS,0.157589901874458
Irinotecan,TC-71,0.439394813814549
Crizotinib,RKO,0.180565855887383
Oxaliplatin,RKO,0.12484277011084
Crizotinib,NCI-H747,0.170025361712612
Crizotinib,CL-11,0.196586216592084
Oxaliplatin,CL-11,5.27097194232625e-002
Crizotinib,COLO-320-HSR,0.120016643583091
Oxaliplatin,COLO-320-HSR,0.10771503934114
Oxaliplatin,A549,0.213000155651003
Crizotinib,SW620,0.191027786331809
Irinotecan,SW620,0.191023903429994
Oxaliplatin,SW620,0.215582786256781
Entinostat,SW620,0.135253250003052
GSK2606414,SW620,8.16216656321106e-002
Crizotinib,HT-29,0.226407223503361
Oxaliplatin,HT-29,0.178405490950076
5-Fluorouracil,HT-29,0.107956452783937
Entinostat,HT-29,0.167108627437319
AZD5582,HT-29,0.289588627382397
GSK2606414,HT-29,4.84156761429637e-002
Crizotinib,HCT-15,0.158954611773139
Oxaliplatin,HCT-15,0.135932223417038
5-Fluorouracil,HCT-15,0.145413529209981
Entinostat,HCT-15,9.60896406288954e-002
WZ4003,HCT-15,0.206847074372272
GSK2606414,HCT-15,0.169252852144579
Crizotinib,SNU-C2B,0.104820266098132
VE-822,PC-14,0.230621902335356
Entinostat,A549,0.181725423759515
VE-822,A375,6.47442585398189e-002
CZC24832,A375,4.89360207723455e-002
WZ4003,U-2-OS,6.39408458259215e-002
GSK2606414,U-2-OS,8.69330122792748e-002
Linsitinib,TC-71,0.249244541499844
GSK2606414,DiFi,0.180063258619008
