Therapy	Sample	Response	Cancer types	Datasets	Alias
5-FLUOROURACIL	A375	0.0650764469421033	SKCM	GDSC2	5-FLUOROURACIL
5-FLUOROURACIL	A427	0.0675364747334541	UNCLASSIFIED	GDSC2	5-FLUOROURACIL
5-FLUOROURACIL	A549	0.20302230967003898	LUAD	GDSC2	5-FLUOROURACIL
5-FLUOROURACIL	AGS	0.111670546401124	STAD	GDSC2	5-FLUOROURACIL
5-FLUOROURACIL	AN3-CA	0.0287667299729646	UCEC	GDSC2	5-FLUOROURACIL
5-FLUOROURACIL	ARH-77	0.17617692550071304	MM	GDSC2	5-FLUOROURACIL
5-FLUOROURACIL	ASH-3	-0.0300157786461712	THCA	GDSC2	5-FLUOROURACIL
5-FLUOROURACIL	AU565	0.231173423606708	BRCA	GDSC2	5-FLUOROURACIL
5-FLUOROURACIL	BALL-1	0.0500363449378684	UNCLASSIFIED	GDSC2	5-FLUOROURACIL
5-FLUOROURACIL	BICR22	0.12192419880684599	HNSC	GDSC2	5-FLUOROURACIL
5-FLUOROURACIL	BT-20	0.0363242777734915	BRCA	GDSC2	5-FLUOROURACIL
5-FLUOROURACIL	BT-474	0.0298233073410893	BRCA	GDSC2	5-FLUOROURACIL
5-FLUOROURACIL	BT-483	-0.00202543695497175	BRCA	GDSC2	5-FLUOROURACIL
5-FLUOROURACIL	BT-549	0.0345896798224252	BRCA	GDSC2	5-FLUOROURACIL
5-FLUOROURACIL	C2BBe1	0.0329633400192468	COREAD	GDSC2	5-FLUOROURACIL
5-FLUOROURACIL	C32	0.0117409735527814	SKCM	GDSC2	5-FLUOROURACIL
5-FLUOROURACIL	CAL-120	0.0338856973150064	BRCA	GDSC2	5-FLUOROURACIL
5-FLUOROURACIL	CAL-148	0.20620295184990398	BRCA	GDSC2	5-FLUOROURACIL
5-FLUOROURACIL	CAL-33	0.27372333698885604	HNSC	GDSC2	5-FLUOROURACIL
5-FLUOROURACIL	CAL-51	0.0610621352866415	BRCA	GDSC2	5-FLUOROURACIL
5-FLUOROURACIL	CAL-85-1	0.0612445864897887	BRCA	GDSC2	5-FLUOROURACIL
5-FLUOROURACIL	CAMA-1	0.14652978682135598	BRCA	GDSC2	5-FLUOROURACIL
5-FLUOROURACIL	CCK-81	0.22588930486498396	COREAD	GDSC2	5-FLUOROURACIL
5-FLUOROURACIL	CHP-212	0.135088610983831	NB	GDSC2	5-FLUOROURACIL
5-FLUOROURACIL	CL-11	0.024173751616035	COREAD	GDSC2	5-FLUOROURACIL
5-FLUOROURACIL	CL-34	0.0446205097287619	COREAD	GDSC2	5-FLUOROURACIL
5-FLUOROURACIL	CL-40	-0.0454308670409953	COREAD	GDSC2	5-FLUOROURACIL
