Therapy	Sample	Response	Cancer types	Datasets	Alias
GSK J4	PIM242	0.18934	BRCA	Powell et al.	GSK-J4
GSK J4	PIM014	0.34917	BRCA	Powell et al.	GSK-J4
GSK J4	PIM137	0.16217	BRCA	Powell et al.	GSK-J4
GSK J4	PIM254	0.054986	BRCA	Powell et al.	GSK-J4
GSK J4	PIM040	0.31221	BRCA	Powell et al.	GSK-J4
GSK J4	PIM053	0.15548	BRCA	Powell et al.	GSK-J4
GSK J4	PIM091	0.16831	BRCA	Powell et al.	GSK-J4
GSK J4	PIM262	0.19969	BRCA	Powell et al.	GSK-J4
GSK J4	PIM068	0.30958	BRCA	Powell et al.	GSK-J4
GSK J4	PIM163	0.29493	BRCA	Powell et al.	GSK-J4
GSK J4	PIM010	0.15125	BRCA	Powell et al.	GSK-J4
GSK J4	PIM025	0.13497	BRCA	Powell et al.	GSK-J4
GSK J4	PIM164	0.45127	BRCA	Powell et al.	GSK-J4
VER 155008	PIM242	0.11179000000000001	BRCA	Powell et al.	VER-155008
VER 155008	PIM014	0.18632	BRCA	Powell et al.	VER-155008
VER 155008	PIM137	0.21259	BRCA	Powell et al.	VER-155008
VER 155008	PIM254	0.16068	BRCA	Powell et al.	VER-155008
VER 155008	PIM040	0.14653	BRCA	Powell et al.	VER-155008
VER 155008	PIM053	0.07953500000000001	BRCA	Powell et al.	VER-155008
VER 155008	PIM091	0.056420000000000005	BRCA	Powell et al.	VER-155008
VER 155008	PIM262	0.01239	BRCA	Powell et al.	VER-155008
VER 155008	PIM068	0.047059	BRCA	Powell et al.	VER-155008
VER 155008	PIM163	0.07186100000000001	BRCA	Powell et al.	VER-155008
VER 155008	PIM010	0.064537	BRCA	Powell et al.	VER-155008
VER 155008	PIM025	0.18548	BRCA	Powell et al.	VER-155008
VER 155008	PIM164	0.031089	BRCA	Powell et al.	VER-155008
SB 225002	PIM242	0.17664000000000002	BRCA	Powell et al.	SB-225002
SB 225002	PIM014	0.22719	BRCA	Powell et al.	SB-225002
SB 225002	PIM137	0.19030999999999998	BRCA	Powell et al.	SB-225002
SB 225002	PIM254	0.12014000000000001	BRCA	Powell et al.	SB-225002
SB 225002	PIM040	0.11546	BRCA	Powell et al.	SB-225002
SB 225002	PIM053	0.041229	BRCA	Powell et al.	SB-225002
SB 225002	PIM091	0.0060806	BRCA	Powell et al.	SB-225002
SB 225002	PIM262	0.13592	BRCA	Powell et al.	SB-225002
SB 225002	PIM068	0.4738	BRCA	Powell et al.	SB-225002
SB 225002	PIM163	0.20840999999999998	BRCA	Powell et al.	SB-225002
SB 225002	PIM010	0.16121	BRCA	Powell et al.	SB-225002
SB 225002	PIM025	0.032909	BRCA	Powell et al.	SB-225002
SB 225002	PIM164	0.17552	BRCA	Powell et al.	SB-225002
JW-74	PIM242	0.031311	BRCA	Powell et al.	JW-74
JW-74	PIM014	0.013057	BRCA	Powell et al.	JW-74
JW-74	PIM137	0.025664999999999997	BRCA	Powell et al.	JW-74
JW-74	PIM254	0.0090457	BRCA	Powell et al.	JW-74
JW-74	PIM040	0.0057353000000000005	BRCA	Powell et al.	JW-74
JW-74	PIM053	-0.004907	BRCA	Powell et al.	JW-74
JW-74	PIM091	-0.019586000000000003	BRCA	Powell et al.	JW-74
JW-74	PIM262	0.0079577	BRCA	Powell et al.	JW-74
JW-74	PIM068	-0.063435	BRCA	Powell et al.	JW-74
JW-74	PIM163	0.046922000000000005	BRCA	Powell et al.	JW-74
JW-74	PIM010	-0.024121	BRCA	Powell et al.	JW-74
JW-74	PIM025	-0.056859	BRCA	Powell et al.	JW-74
JW-74	PIM164	-0.014497999999999999	BRCA	Powell et al.	JW-74
MITOMYCIN	PIM242	0.0015098	BRCA	Powell et al.	MITOMYCIN
MITOMYCIN	PIM014	-0.00279	BRCA	Powell et al.	MITOMYCIN
MITOMYCIN	PIM137	0.029691000000000002	BRCA	Powell et al.	MITOMYCIN
