Pathway	Set	Mann-Witney U Test statistic	P-value	FDR
DGNet_PID_HDAC_CLASSII_PATHWAY	TP only	3.5262624294416076	0.00042146910932616406	0.005900567530566297
CHEM_mBit_175	TP & TN	2.4216255016315844	0.015451264677085243	0.1081588527395967
CHEM_mBit_29	TP only	1.9234158706045132	0.054427842760661	0.24653899656395836
CHEM_mBit_48	TN only	-1.8090726765983	0.0704397133039881	0.24653899656395836
CHEM_mBit_66	TN only	-1.6702273695907557	0.09487438685822716	0.265648283203036
CHEM_mBit_123	TP & TN	1.3190304165716724	0.1871589439588317	0.4367042025706073
CHEM_mBit_168	TP & TN	1.0658419155579149	0.28649510950906754	0.5729902190181351
CHEM_mBit_166	TP & TN	0.6125528250332845	0.5401720591473256	0.7906508489625175
CHEM_mBit_201	TP & TN	0.6125528250332845	0.5401720591473256	0.7906508489625175
CHEM_mBit_142	TP only	0.5757996555312874	0.5647506064017982	0.7906508489625175
CHEM_mBit_121	TN only	-0.3348622110181955	0.7377290292123182	0.8413460098297187
CHEM_mBit_30	TN only	-0.3062764125166422	0.759394196908805	0.8413460098297187
CHEM_mBit_183	TP & TN	0.27769061401508893	0.7812498662704531	0.8413460098297187
DGNet_PID_IL12_2PATHWAY	TP only	-0.13680346425743353	0.8911861453101304	0.8911861453101304
